Day,Price
0,48720.37
1,47951.85
2,49160.1
3,52118.23
4,51608.15
5,55916.5
6,56001.2
7,57487.86
8,54123.4
9,48880.43
10,50624.84
11,46800.42
12,46340.31
13,46155.87
14,45113.92
15,49618.43
16,48356.04
17,50477.7
18,48448.91
19,48861.38
20,48881.59
21,51169.7
22,52299.33
23,54881.52
24,55997.23
25,57764
26,57253.28
27,61258.73
28,59133.47
29,55754.72
30,56872.38
31,58913
32,57665.9
33,58075.1
34,58085.8
35,57411.17
36,54204.96
37,54477.46
38,52508.23
39,51415.92
40,55074.47
41,55863.93
42,55783.71
43,57627.67
44,58730.13
45,58735.25
46,58736.92
47,59031.32
48,57076.49
49,58206.55
50,59054.1
51,58020.46
52,55947.27
53,58048.59
54,58102.58
55,59774
56,59964.87
57,59834.74
58,63554.44
59,62969.12
60,63252.63
61,61455.98
62,60087.09
63,56251.48
64,55703.14
65,56507.91
66,53808.8
67,51731.71
68,51153.13
69,50110.53
70,49075.58
71,54056.64
72,55071.46
73,54884.1
74,53584.15
75,57796.62
76,57857.5
77,56610.46
78,57213.33
79,53241.72
80,57473.23
81,56428.16
82,57380.27
83,58928.81
84,58280.73
85,55883.5
86,56750
87,49007.09
88,49702.27
89,49922.52
90,46736.58
91,46441.64
92,43596.24
93,42912.19
94,36964.27
95,40784.32
96,37280.35
97,37528.3
98,34754.54
99,38728.59
100,38410.5
101,39266.04
102,38445.29
103,35689.62
104,34647.67
105,35684.59
106,37310.54
107,36662.64
108,37585.24
109,39188.59
110,36885.51
111,35530.38
112,35816.17
113,33514.87
114,33450.19
115,37338.36
116,36704.57
117,37313.18
118,35494.9
119,39066.82
120,40525.8
121,40188.56
122,38324.87
123,38068.04
124,35729.82
125,35524.17
126,35592.35
127,31686.55
128,32447.59
129,33674.66
130,34639.38
131,31640.58
132,32160.91
133,34644.45
134,34456.67
135,35847.7
136,35047.36
137,33536.88
138,33856.86
139,34688.98
140,35309.3
141,33747.97
142,34211.01
143,33839.04
144,32877.41
145,33818.52
146,33515.57
147,34227.64
148,33158.25
149,32686.56
150,32814.61
151,31738.59
152,31421.25
153,31520.66
154,31783.49
155,30815.94
156,29790.24
157,32118.06
158,32297.89
159,33581.63
160,34279.34
161,35365.2
162,37318.14
163,39405.95
164,40002.53
165,40005.93
166,42214.15
167,41659.06
168,40000.46
169,39193.94
170,38138
171,39750.14
172,40882
173,42825.95
174,44634.13
175,43816.14
176,46333.46
177,45608.37
178,45611.46
179,44417.78
180,47833.98
181,47112.19
182,47056.41
183,45982.55
184,44648.57
185,44777.86
186,46734.65
187,49327.75
188,48932.02
189,49335.68
190,49523.5
191,47744.58
192,48972.09
193,46962.8
194,49056.86
195,48897.65
196,48806.78
197,47074.77
198,47155.87
199,48862.76
200,49329.01
201,50035.33
202,49947.38
203,51769.06
204,52677.4
205,46809.17
206,46078.38
207,46368.69
208,44847.48
209,45144.79
210,46059.12
211,44968.76
212,47072.12
213,48167.85
214,47785.26
215,47263.6
216,48259.45
217,47249.38
218,42901.56
219,40619.27
220,43604.76
221,44888.96
222,42815.56
223,42742.01
224,43182.63
225,42238.2
226,41011.16
227,41522.38
228,43757.81
229,48140.11
230,47727.1
231,48205.72
232,49143.95
233,51505.83
234,55343.76
235,53801.1
236,53867.3
237,55122.59
238,54625.74
239,57452.01
240,56242.94
241,57406.69
242,57397.74
243,61641.17
244,60948.78
245,61546.21
246,61971.59
247,64287.64
248,66063.56
249,62354.86
250,60697.06
251,61277.28
252,60884.18
253,63070.54
254,60345.17
255,58538.49
256,60587.09
257,62249.18
258,61731.29
259,61373.44
260,61029.5
261,63241.11
262,62954.86
263,61441.83
264,61072.32
265,61516.31
266,63293.22
267,67562.17
268,66954.11
269,64976.73
270,64838.81
271,64254.67
272,64420.94
273,65468.75
274,63584.25
275,60172.26
276,60381.35
277,56921.34
278,58133.02
279,59777.98
280,58755.9
281,56301.52
282,57578.22
283,57187.54
284,58935.45
285,53588.21
286,54801.15
287,57292.28
288,57828.45
289,57025.79
290,57229.76
291,56508.48
292,53713.84
293,49253.86
294,49380.43
295,50564.63
296,50645.41
297,50511.12
298,47659.68
299,47137.46
300,49379.67
301,50117.25
302,46757.09
303,48392.79
304,48884.66
305,47658.38
306,46173.51
307,46863.67
308,46689.28
309,46910.13
310,48934.57
311,48628.35
312,50785.69
313,50814.92
314,50470.89
315,50801.11
316,50692.3
317,47601.26
318,46408.87
319,47132.96
320,46249.56
321,47763.33
322,47327.87
323,46441.99
324,45862.98
325,43436.17
326,43120.63
327,41528.04
328,41690.93
329,41864.44
330,41849
331,42723.37
332,43926
333,42546.44
334,43099.37
335,43146.53
336,43102.44
337,42248.35
338,42381.48
339,41707.85
340,40684.42
341,36480.85
342,35071.43
343,36280.82
344,36678.82
345,36948.81
346,36823.5
347,37146.85
348,37770.15
349,38186.49
350,37918.62
351,38521.79
352,38739.74
353,36912.68
354,37092.4
355,41584.19
356,41435.43
357,42450.98
358,43834.02
359,44133.28
360,44397.3
361,43531.11
362,42401.27
363,42245.56
364,42104.89
365,42580.94
